vjdbv1.1_field_index,vjdbv1.1_field_id,vjdbv1.1_name
0by,host_sex_bvbrc,Host Sex BV-BRC
0cd,is_bvbrc_sequence,Sequence BV-BRC
0hm,cluster_reference,Cluster Reference
0hl,is_cluster_representative,Cluster Representative
0ie,is_coding_strand,Coding Strand
0ae,collection_date,Collection Date
0ak,collection_geo_location,Collection Geo Location
0aw,collection_source_host_tissue,Collection Source Host Tissue
0af,country,Country
0cq,gc_content_bvbrc,GC Content BV-BRC
0ah,is_genbank_sequence,GenBank Sequence
0ao,genome_completeness,Genome Completeness
0gm,genotype,Genotype
0ho,host_accession,Host Accession
0gr,host_age_num_bvbrc,Host Age Number BV-BRC
0if,host_association_method,Host Association Method
0hw,host_average_sequence_depth,Host Average Sequence Depth
0hq,host_bioproject_accession,Host BioProject Accession
0hr,host_biosample_accession,Host Biosample Accession
0ht,host_collection_date,Host Collection Date
0al,host_common_name,Host Common Name
0hs,host_country,Host Country
0hg,host_species_name_gtdb,Host Species Name GTDB
0hu,host_imgm_taxon_oid,Host IMGM Taxon OID
0bx,host_ncbi_tax_id,Host NCBI Tax ID
0hx,host_sequencing_platform,Host Sequencing Platform
0bw,host_species,Host Species
0fo,class_ictv,Class ICTV
0gw,is_ictv_exemplar,ICTV Exemplar
0fs,family_ictv,Family ICTV
0fu,genus_ictv,Genus ICTV
0gy,host_group_ictv,Host Group ICTV
0fk,kingdom_ictv,Kingdom ICTV
0gv,lineage_names_ictv,Lineage Names ICTV
0fq,order_ictv,Order ICTV
0fm,phylum_ictv,Phylum ICTV
0fi,realm_ictv,Realm ICTV
0fw,species_ictv,Species ICTV
0ft,subfamily_ictv,Subfamily ICTV
0fv,subgenus_ictv,Subgenus ICTV
0fr,suborder_ictv,Suborder ICTV
0fn,subphylum_ictv,Subphylum ICTV
0aa,insdc_accession,INSDC Accession
0gn,isolate,Isolate
0an,molecule_type,Molecule Type
0ih,clade_ncbi,Clade NCBI
0gd,class_ncbi,Class NCBI
0gh,family_ncbi,Family NCBI
0ii,genotype_ncbi,Genotype NCBI
0gj,genus_ncbi,Genus NCBI
0ik,isolate_ncbi,Isolate NCBI
0fz,kingdom_ncbi,Kingdom NCBI
0gt,lineage_ids_ncbi,Lineage IDs NCBI
0gu,lineage_names_ncbi,Lineage Names NCBI
0gf,order_ncbi,Order NCBI
0gb,phylum_ncbi,Phylum NCBI
0fx,realm_ncbi,Realm NCBI
0ij,serotype_ncbi,Serotype NCBI
0gl,species_ncbi,Species NCBI
0cl,tax_id_ncbi,Tax ID NCBI
0gi,subfamily_ncbi,Subfamily NCBI
